date,timestamp_utc,time_cest,price_FR,price_BE,price_DE_LU,max_divergence_eur_mwh,verdict
Date_A_2026-08-12,2026-08-12 16:00:00+00:00,2026-08-12 18:00:00+02:00,156.13,155.9,163.69,7.789999999999992,DIVERGED
Date_A_2026-08-12,2026-08-12 16:15:00+00:00,2026-08-12 18:15:00+02:00,173.97,173.73,173.62,0.3499999999999943,DIVERGED
Date_A_2026-08-12,2026-08-12 16:30:00+00:00,2026-08-12 18:30:00+02:00,185.81,185.52,190.23,4.7099999999999795,DIVERGED
Date_A_2026-08-12,2026-08-12 16:45:00+00:00,2026-08-12 18:45:00+02:00,219.27,219.27,219.27,0.0,COUPLED_EXACT
Date_A_2026-08-12,2026-08-12 17:00:00+00:00,2026-08-12 19:00:00+02:00,210.0,210.0,210.0,0.0,COUPLED_EXACT
Date_A_2026-08-12,2026-08-12 17:15:00+00:00,2026-08-12 19:15:00+02:00,241.53,241.53,241.53,0.0,COUPLED_EXACT
Date_A_2026-08-12,2026-08-12 17:30:00+00:00,2026-08-12 19:30:00+02:00,287.3,287.3,270.0,17.30000000000001,DIVERGED
Date_A_2026-08-12,2026-08-12 17:45:00+00:00,2026-08-12 19:45:00+02:00,461.17,461.17,461.17,0.0,COUPLED_EXACT
Date_A_2026-08-12,2026-08-12 18:00:00+00:00,2026-08-12 20:00:00+02:00,402.5,402.5,402.5,0.0,COUPLED_EXACT
Date_A_2026-08-12,2026-08-12 18:15:00+00:00,2026-08-12 20:15:00+02:00,272.05,297.17,314.82,42.76999999999998,DIVERGED
Date_A_2026-08-12,2026-08-12 18:30:00+00:00,2026-08-12 20:30:00+02:00,250.0,250.79,275.0,25.0,DIVERGED
Date_A_2026-08-12,2026-08-12 18:45:00+00:00,2026-08-12 20:45:00+02:00,232.17,232.17,232.17,0.0,COUPLED_EXACT
Date_A_2026-08-12,2026-08-12 19:00:00+00:00,2026-08-12 21:00:00+02:00,253.0,253.0,253.0,0.0,COUPLED_EXACT
Date_A_2026-08-12,2026-08-12 19:15:00+00:00,2026-08-12 21:15:00+02:00,243.12,243.12,243.12,0.0,COUPLED_EXACT
Date_A_2026-08-12,2026-08-12 19:30:00+00:00,2026-08-12 21:30:00+02:00,223.39,223.39,223.39,0.0,COUPLED_EXACT
Date_A_2026-08-12,2026-08-12 19:45:00+00:00,2026-08-12 21:45:00+02:00,198.97,198.97,198.97,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 16:00:00+00:00,2026-08-13 18:00:00+02:00,165.0,165.0,165.56,0.5600000000000023,DIVERGED
Date_B_2026-08-13,2026-08-13 16:15:00+00:00,2026-08-13 18:15:00+02:00,188.0,188.0,188.0,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 16:30:00+00:00,2026-08-13 18:30:00+02:00,209.06,209.06,193.2,15.860000000000014,DIVERGED
Date_B_2026-08-13,2026-08-13 16:45:00+00:00,2026-08-13 18:45:00+02:00,253.93,253.93,253.93,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 17:00:00+00:00,2026-08-13 19:00:00+02:00,229.16,229.16,229.16,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 17:15:00+00:00,2026-08-13 19:15:00+02:00,262.69,262.69,262.69,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 17:30:00+00:00,2026-08-13 19:30:00+02:00,327.17,327.17,276.4,50.77000000000004,DIVERGED
Date_B_2026-08-13,2026-08-13 17:45:00+00:00,2026-08-13 19:45:00+02:00,487.38,487.38,487.38,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 18:00:00+00:00,2026-08-13 20:00:00+02:00,414.96,414.96,414.96,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 18:15:00+00:00,2026-08-13 20:15:00+02:00,371.94,371.94,371.94,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 18:30:00+00:00,2026-08-13 20:30:00+02:00,300.14,300.14,276.71,23.430000000000007,DIVERGED
Date_B_2026-08-13,2026-08-13 18:45:00+00:00,2026-08-13 20:45:00+02:00,268.41,268.41,268.41,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 19:00:00+00:00,2026-08-13 21:00:00+02:00,353.92,353.92,353.92,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 19:15:00+00:00,2026-08-13 21:15:00+02:00,268.97,268.97,268.97,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 19:30:00+00:00,2026-08-13 21:30:00+02:00,240.0,240.0,240.0,0.0,COUPLED_EXACT
Date_B_2026-08-13,2026-08-13 19:45:00+00:00,2026-08-13 21:45:00+02:00,217.15,217.15,217.15,0.0,COUPLED_EXACT
