C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2026/07/08,18:11:00,001783498260880,MONTHLY_ARCHIVE,001783498260880
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2026/06/01 00:05:00",1,NSW1,20260531241,0,43.08914,0,43.08914,0,0,"2026/06/01 00:00:01",0.04,0.04,0,0.04,0.04,0,0.02,0.02,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,43.08914,0.04,0.04,0.02,3.46,0.01,0.03,0.01,0.72,195604.96948,509.95654,324.34987,94.9002,10374.08155,19.01,78.6095,16.94938,3976.08145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.61,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:05:00",1,QLD1,20260531241,0,72.75,0,72.75,0,0,"2026/06/01 00:00:01",0.04,0.04,0,0.04,0.04,0,0.02,0.02,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,72.75,0.04,0.04,0.02,3.46,0.01,0.03,0.01,0.72,182392.66066,128.62699,103.0318,52.7702,10331.95155,1624.90433,1681.36994,348.99955,4308.13162,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.61,284.95096
D,DISPATCH,PRICE,5,"2026/06/01 00:05:00",1,SA1,20260531241,0,32.19655,0,32.19655,0,0,"2026/06/01 00:00:01",0.04,0.04,0,0.04,0.04,0,0.02,0.02,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,32.19655,0.04,0.04,0.02,3.46,0.01,0.03,0.01,0.72,205893.17876,509.95654,324.34987,94.9002,10374.08155,19.01,78.6095,16.94938,3976.08145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.61,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:05:00",1,TAS1,20260531241,0,80.02,0,80.02,0,0,"2026/06/01 00:00:01",0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,5.44,5.44,0,0.38,0.38,0,0.38,0.38,0,0,0,0,3.03,3.03,0,FIRM,80.02,0.38,0.38,0.38,5.44,0.38,0.38,0,3.03,201395.29231,13086.80798,902.14391,541.10322,13041.13293,3003.7006,827.72294,451.49238,4662.48368,NOT_OCD,NOT_MII,0,0,0,0,0,0,0,0,23.16,0.04
D,DISPATCH,PRICE,5,"2026/06/01 00:05:00",1,VIC1,20260531241,0,38,0,38,0,0,"2026/06/01 00:00:01",0.04,0.04,0,0.04,0.04,0,0.02,0.02,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,38,0.04,0.04,0.02,3.46,0.01,0.03,0.01,0.72,162831.96598,509.95654,324.34987,94.9002,10374.08155,19.01,78.6095,16.94938,3976.08145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.61,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:10:00",1,NSW1,20260531242,0,66.53,0,66.53,0,0,"2026/06/01 00:05:01",0.04,0.04,0,0.03,0.03,0,0.01,0.01,0,4.98,4.98,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,66.53,0.04,0.03,0.01,4.98,0.01,0.03,0.01,0.72,195581.99368,509.72654,324.22987,94.8802,10374.08155,18.99,78.6095,16.94938,3976.08145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.56,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:10:00",1,QLD1,20260531242,0,72.5,0,72.5,0,0,"2026/06/01 00:05:01",0.04,0.04,0,0.03,0.03,0,0.01,0.01,0,4.98,4.98,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,72.5,0.04,0.03,0.01,4.98,0.01,0.03,0.01,0.72,182374.48066,128.39699,102.9118,52.7502,10331.95155,1624.88433,1681.36994,348.99955,4308.13162,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.56,284.95096
D,DISPATCH,PRICE,5,"2026/06/01 00:10:00",1,SA1,20260531242,0,51.04929,0,51.04929,0,0,"2026/06/01 00:05:01",0.04,0.04,0,0.03,0.03,0,0.01,0.01,0,4.98,4.98,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,51.04929,0.04,0.03,0.01,4.98,0.01,0.03,0.01,0.72,205871.5134,509.72654,324.22987,94.8802,10374.08155,18.99,78.6095,16.94938,3976.08145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.56,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:10:00",1,TAS1,20260531242,0,80.02,0,80.02,0,0,"2026/06/01 00:05:01",0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,5.44,5.44,0,0.38,0.38,0,0.38,0.38,0,0,0,0,3.03,3.03,0,FIRM,80.02,0.38,0.38,0.38,5.44,0.38,0.38,0,3.03,201388.23231,13086.80798,902.14391,541.10322,13041.00293,3001.0806,827.67294,451.11238,4663.28068,NOT_OCD,NOT_MII,0,0,0,0,0,0,0,0,23.16,0.04
D,DISPATCH,PRICE,5,"2026/06/01 00:10:00",1,VIC1,20260531242,0,57.26949,0,57.26949,0,0,"2026/06/01 00:05:01",0.04,0.04,0,0.03,0.03,0,0.01,0.01,0,4.98,4.98,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,57.26949,0.04,0.03,0.01,4.98,0.01,0.03,0.01,0.72,162815.19828,509.72654,324.22987,94.8802,10374.08155,18.99,78.6095,16.94938,3976.08145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.56,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:15:00",1,NSW1,20260531243,0,68.62559,0,68.62559,0,0,"2026/06/01 00:10:02",0.04,0.04,0,0.03,0.03,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,1.05,1.05,0,FIRM,68.62559,0.04,0.03,0.01,3.46,0.01,0.03,0.01,1.05,195559.04819,509.49654,324.10987,94.8602,10371.55155,18.97,78.6095,16.94938,3976.41145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,0.24
